# frequency  PSD
3.270940170940170866e-01 4.242374266063410107e-15
3.271794871794871939e-01 4.256750559442724492e-15
3.272649572649572458e-01 4.258184258390003646e-15
3.273504273504273532e-01 4.264059309348872076e-15
3.274358974358974606e-01 4.270087120568611392e-15
3.275213675213675124e-01 4.295168712751355315e-15
3.276068376068376198e-01 4.348654670561056136e-15
3.276923076923076716e-01 4.383309667477719695e-15
3.277777777777777790e-01 4.396658825207848431e-15
3.278632478632478864e-01 4.425563211765063147e-15
3.279487179487179382e-01 4.458351605592007830e-15
3.280341880341880456e-01 4.486250860209221414e-15
3.281196581196580975e-01 4.489097188219612751e-15
3.282051282051282048e-01 4.494713299624778526e-15
3.282905982905983122e-01 4.496252059179703053e-15
3.283760683760683641e-01 4.499262332826754510e-15
3.284615384615384714e-01 4.521662692577340026e-15
3.285470085470085233e-01 4.537420888591750082e-15
3.286324786324786307e-01 4.556383721653182092e-15
3.287179487179487380e-01 4.560745084666680928e-15
3.288034188034187899e-01 4.587756630074224751e-15
3.288888888888888973e-01 4.622011156196606668e-15
3.289743589743589491e-01 4.634902047587479610e-15
3.290598290598290565e-01 4.636112829430149557e-15
3.291452991452991639e-01 4.673222078336674413e-15
3.292307692307692157e-01 4.692856781804741074e-15
3.293162393162393231e-01 4.719227360348669865e-15
3.294017094017093750e-01 4.734291605214011227e-15
3.294871794871794823e-01 4.734291605214011227e-15
3.295726495726495897e-01 4.752224842128982993e-15
3.296581196581196416e-01 4.757026733305864120e-15
3.297435897435897489e-01 4.925804532229543046e-15
3.298290598290598563e-01 4.940071055244245173e-15
3.299145299145299082e-01 4.949122778994266772e-15
3.300000000000000155e-01 4.953148796843088951e-15
3.300854700854700674e-01 4.993736986539476569e-15
3.301709401709401748e-01 5.012852459049446814e-15
3.302564102564102821e-01 5.025204750978562648e-15
3.303418803418803340e-01 5.055200676713374786e-15
3.304273504273504414e-01 5.056255519694890555e-15
3.305128205128204932e-01 5.062029711787572213e-15
3.305982905982906006e-01 5.073996653133909123e-15
3.306837606837607080e-01 5.097546826322447162e-15
3.307692307692307598e-01 5.101014123881983410e-15
3.308547008547008672e-01 5.101014123881983410e-15
3.309401709401709191e-01 5.127421157864962741e-15
3.310256410256410264e-01 5.127845354103939148e-15
3.311111111111111338e-01 5.160972235609161859e-15
3.311965811965811857e-01 5.163530721119365600e-15
3.312820512820512930e-01 5.236844473759539987e-15
3.313675213675213449e-01 5.239537646275808538e-15
3.314529914529914523e-01 5.242172036470649889e-15
3.315384615384615596e-01 5.242172036470649889e-15
3.316239316239316115e-01 5.260206434605650195e-15
3.317094017094017189e-01 5.278234010827809186e-15
3.317948717948717707e-01 5.281671034931879795e-15
3.318803418803418781e-01 5.318007858170534727e-15
3.319658119658119855e-01 5.345229377814484132e-15
3.320512820512820373e-01 5.346674737998144461e-15
3.321367521367521447e-01 5.378103772256499224e-15
3.322222222222221966e-01 5.415855698189187537e-15
3.323076923076923039e-01 5.417760407106977100e-15
3.323931623931624113e-01 5.437345335089631897e-15
3.324786324786324632e-01 5.455297785604946388e-15
3.325641025641025705e-01 5.504397113075838675e-15
3.326495726495726224e-01 5.529349360238388169e-15
3.327350427350427298e-01 5.537927910177646764e-15
3.328205128205128371e-01 5.540933546458645665e-15
3.329059829059828890e-01 5.578862446331153524e-15
3.329914529914529964e-01 5.595000142616718255e-15
3.330769230769231037e-01 5.620661767035204913e-15
3.331623931623931556e-01 5.620713643961477941e-15
3.332478632478632630e-01 5.629533639650913199e-15
3.333333333333333148e-01 5.632085956970789422e-15
3.334188034188034222e-01 5.637799849094423428e-15
3.335042735042735296e-01 5.654312013160980442e-15
3.335897435897435814e-01 5.654312013160980442e-15
3.336752136752136888e-01 5.654562441534779850e-15
3.337606837606837407e-01 5.691612788619883602e-15
3.338461538461538480e-01 5.696477849580695398e-15
